;;;;;;;;;;;;;;;;;
Второй раздел – виды спорта, развитие которых осуществляется на общероссийском уровне, и их спортивные дисциплины;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
№;Наименование  вида спорта;Номер-код вида спорта;Наименование спортивной дисциплины;Номер-код спортивной дисциплины;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 67 КГ - ТОЛЧОК;0480301811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 71 КГ - ДВОЕБОРЬЕ;0480311611Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 89 КГ - РЫВОК;0480531611А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 102 КГ - ДВОЕБОРЬЕ;0480581611А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 102 КГ - РЫВОК;0480591611А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 102 КГ - ТОЛЧОК;0480601611А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 102+ КГ - ДВОЕБОРЬЕ;0480611611А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 102+ КГ - РЫВОК;0480621611А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 102+ КГ - ТОЛЧОК;0480631611А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 109 КГ - ДВОЕБОРЬЕ;0480641811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 109 КГ - РЫВОК;0480651811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 109 КГ - ТОЛЧОК;0480661811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 109+ КГ - ДВОЕБОРЬЕ;0480671811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 109+ КГ - РЫВОК;0480681811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 109+ КГ - ТОЛЧОК;0480691811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 55 КГ - ДВОЕБОРЬЕ;0480161811Я;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 71 КГ - РЫВОК;0480321611Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 71 КГ - ТОЛЧОК;0480331611Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 73 КГ - ДВОЕБОРЬЕ;0480341611А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 73 КГ - РЫВОК;0480351611А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 73 КГ - ТОЛЧОК;0480361611А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 76 КГ - ДВОЕБОРЬЕ;0480371811Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 76 КГ - РЫВОК;0480381811Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 76 КГ - ТОЛЧОК;0480391811Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 81 КГ - ДВОЕБОРЬЕ;0480401611Я;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 81 КГ - РЫВОК;0480411611Я;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 81 КГ - ТОЛЧОК;0480421611Я;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 81+ КГ - ДВОЕБОРЬЕ;0480431611Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 81+ КГ - РЫВОК;0480441611Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 81+ КГ - ТОЛЧОК;0480451611Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 87 КГ - ДВОЕБОРЬЕ;0480461811Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 87 КГ - РЫВОК;0480471811Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 87 КГ - ТОЛЧОК;0480481811Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 87+ КГ - ДВОЕБОРЬЕ;0480491811Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 87+ КГ - РЫВОК;0480501811Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 87+ КГ - ТОЛЧОК;0480511811Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 89 КГ - ДВОЕБОРЬЕ;0480521611А;;;;;;;;;;;;;
132;КЁРЛИНГ;0360004611Я;ПОДА - КЁРЛИНГ НА КОЛЯСКАХ - СМЕШАННЫЕ ПАРЫ;0360054711Л;;;;;;;;;;;;;
;;;ПОДА - КЁРЛИНГ НА КОЛЯСКАХ - СМЕШАННЫЙ;0360044711Л;;;;;;;;;;;;;
;;;КЁРЛИНГ - СМЕШАННЫЕ ПАРЫ;0360034611Я;;;;;;;;;;;;;
;;;КЁРЛИНГ - СМЕШАННЫЙ;0360024811Я;;;;;;;;;;;;;
;;;КЁРЛИНГ;0360014611Я;;;;;;;;;;;;;
133;СЕВЕРНОЕ МНОГОБОРЬЕ;1720005311Я;ТРОЙНОЙ ПРЫЖОК С ОТТАЛКИВАНИЕМ ДВУМЯ НОГАМИ;1720051811Я;;;;;;;;;;;;;
;;;ПРЫЖКИ ЧЕРЕЗ НАРТЫ;1720041811Я;;;;;;;;;;;;;
;;;МЕТАНИЕ ТЫНЗЯНА НА ХОРЕЙ;1720031811Я;;;;;;;;;;;;;
;;;МЕТАНИЕ ТОПОРА НА ДАЛЬНОСТЬ;1720021811Я;;;;;;;;;;;;;
;;;БЕГ С ПАЛКОЙ;1720013811Я;;;;;;;;;;;;;
134;СТРАЙКБОЛ;0340002311Г;ИГРА 4Х4 ЧЕЛОВЕКА;0340032811Г;;;;;;;;;;;;;
;;;ИГРА 2Х2 ЧЕЛОВЕКА;0340022811Г;;;;;;;;;;;;;
;;;ИГРА 1Х1 ЧЕЛОВЕК;0340012811Г;;;;;;;;;;;;;
135;ВОЗДУШНАЯ ГИМНАСТИКА;1930001411Я;ДВОЙКА-СТРОПЫ;1930061811Б;;;;;;;;;;;;;
;;;ДВОЙКА-ПОЛОТНО;1930051811Б;;;;;;;;;;;;;
;;;ДВОЙКА-КОЛЬЦО;1930041811Б;;;;;;;;;;;;;
;;;СОЛО-СТРОПЫ;1930031811Б;;;;;;;;;;;;;
;;;СОЛО-ПОЛОТНО;1930021811С;;;;;;;;;;;;;
;;;СОЛО-КОЛЬЦО;1930011811С;;;;;;;;;;;;;
136;СКВОШ;1390002611Я;КОМАНДНЫЕ СОРЕВНОВАНИЯ;1390022811Я;;;;;;;;;;;;;
;;;СКВОШ;1390012611Я;;;;;;;;;;;;;
137;САВАТ;1210001411Я;АССО - ВЕСОВАЯ КАТЕГОРИЯ 85+ КГ;1210211811М;;;;;;;;;;;;;
;;;АССО - ВЕСОВАЯ КАТЕГОРИЯ 85 КГ;1210201811А;;;;;;;;;;;;;
;;;АССО - ВЕСОВАЯ КАТЕГОРИЯ 80 КГ;1210191811Г;;;;;;;;;;;;;
;;;АССО - ВЕСОВАЯ КАТЕГОРИЯ 75 КГ;1210181811Я;;;;;;;;;;;;;
;;;АССО - ВЕСОВАЯ КАТЕГОРИЯ 70 КГ;1210171811Я;;;;;;;;;;;;;
;;;АССО - ВЕСОВАЯ КАТЕГОРИЯ 65 КГ;1210161811Я;;;;;;;;;;;;;
;;;АССО - ВЕСОВАЯ КАТЕГОРИЯ 60 КГ;1210151811Я;;;;;;;;;;;;;
;;;АССО - ВЕСОВАЯ КАТЕГОРИЯ 56 КГ;1210141811Я;;;;;;;;;;;;;
;;;АССО - ВЕСОВАЯ КАТЕГОРИЯ 52 КГ;1210131811С;;;;;;;;;;;;;
;;;АССО - ВЕСОВАЯ КАТЕГОРИЯ 48 КГ;1210121811Б;;;;;;;;;;;;;
;;;АССО - ВЕСОВАЯ КАТЕГОРИЯ 45 КГ;1210111811Д;;;;;;;;;;;;;
;;;КОМБА - ВЕСОВАЯ КАТЕГОРИЯ 85+ КГ;1210101811А;;;;;;;;;;;;;
;;;КОМБА - ВЕСОВАЯ КАТЕГОРИЯ 85 КГ;1210091811А;;;;;;;;;;;;;
;;;КОМБА - ВЕСОВАЯ КАТЕГОРИЯ 80 КГ;1210081811Г;;;;;;;;;;;;;
;;;КОМБА - ВЕСОВАЯ КАТЕГОРИЯ 75 КГ;1210071811Г;;;;;;;;;;;;;
;;;КОМБА - ВЕСОВАЯ КАТЕГОРИЯ 70 КГ;1210061811Г;;;;;;;;;;;;;
;;;КОМБА - ВЕСОВАЯ КАТЕГОРИЯ 65 КГ;1210051811Г;;;;;;;;;;;;;
;;;КОМБА - ВЕСОВАЯ КАТЕГОРИЯ 60 КГ;1210041811Г;;;;;;;;;;;;;
;;;КОМБА - ВЕСОВАЯ КАТЕГОРИЯ 56 КГ;1210031811Г;;;;;;;;;;;;;
;;;КОМБА - ВЕСОВАЯ КАТЕГОРИЯ 52 КГ;1210021811Ж;;;;;;;;;;;;;
;;;КОМБА - ВЕСОВАЯ КАТЕГОРИЯ 48 КГ;1210011811Ж;;;;;;;;;;;;;
138;БЕЙСБОЛ;0180002611Я;БЕЙСБОЛ - 5 - СМЕШАННЫЙ;0180022811Я;;;;;;;;;;;;;
;;;БЕЙСБОЛ;0180012611Г;;;;;;;;;;;;;
139;БОРЬБА НА ПОЯСАХ;0540001411Я;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 70 КГ;0540171811Д;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 70+ КГ;0540181811Д;;;;;;;;;;;;;
;;;КЛАССИЧЕСКИЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 57 КГ;0540441811М;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 71 КГ;0540391811Ю;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 75 КГ;0540191811А;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 76 КГ;0540201811Б;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 76+ КГ;0540211811Б;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 77 КГ;0540401811Ю;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 80 КГ;0540221811Ю;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 82 КГ;0540231811А;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 85 КГ;0540411811Ю;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 90 КГ;0540241811А;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 90+ КГ;0540251811Ю;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 95 КГ;0540421811Ю;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 95+ КГ;0540431811Ю;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 100 КГ;0540261811А;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 100+ КГ;0540271811А;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-КОМАНДНЫЕ СОРЕВНОВАНИЯ;0540281811А;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-АБСОЛЮТНАЯ КАТЕГОРИЯ;0540291811М;;;;;;;;;;;;;
;;;КЛАССИЧЕСКИЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 62 КГ;0540301811М;;;;;;;;;;;;;
;;;КЛАССИЧЕСКИЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 68 КГ;0540311811М;;;;;;;;;;;;;
;;;КЛАССИЧЕСКИЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 75 КГ;0540321811М;;;;;;;;;;;;;
;;;КЛАССИЧЕСКИЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 82 КГ;0540331811М;;;;;;;;;;;;;
;;;КЛАССИЧЕСКИЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 90 КГ;0540341811А;;;;;;;;;;;;;
;;;КЛАССИЧЕСКИЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ100 КГ;0540351811А;;;;;;;;;;;;;
;;;КЛАССИЧЕСКИЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 100+ КГ;0540361811А;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 36 КГ;0540011811Ю;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 40 КГ;0540021811Ю;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 44 КГ;0540031811Д;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 45 КГ;0540371811Ю;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 48 КГ;0540041811Д;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 50 КГ;0540051811Ю;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 52 КГ;0540061811Б;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 55 КГ;0540071811Ю;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 56 КГ;0540081811Ю;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 57 КГ;0540091811Ф;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 58 КГ;0540101811Б;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 60 КГ;0540111811Ю;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 62 КГ;0540121811А;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 63 КГ;0540381811Д;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 65 КГ;0540131811Ю;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 66 КГ;0540141811Б;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 66+ КГ;0540151811Б;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ-ВЕСОВАЯ КАТЕГОРИЯ 68 КГ;0540161811А;;;;;;;;;;;;;
140;ТРИАТЛОН;0300005611Я;СЛ - ТРИАТЛОН;0300221711Л;;;;;;;;;;;;;
;;;ПОДА - ТРИАТЛОН (РTWС, РTS2, РTS3, РTS4);0300211711Ж;;;;;;;;;;;;;
;;;ПОДА - ТРИАТЛОН (РTS5);0300201711Л;;;;;;;;;;;;;
;;;ПОДА - ТРИАТЛОН (РTS4);0300191711М;;;;;;;;;;;;;
;;;ПОДА - ТРИАТЛОН (РTS2, РTS3);0300181711М;;;;;;;;;;;;;
;;;ПОДА - ТРИАТЛОН (РTWC);0300171711М;;;;;;;;;;;;;
;;;ДУАТЛОН - ЛЫЖНАЯ ГОНКА;0300163811Л;;;;;;;;;;;;;
;;;ТРИАТЛОН - ЛЫЖНАЯ ГОНКА - ЭСТАФЕТА - СМЕШАННАЯ (2 ЧЕЛОВЕКА Х 2 ДИСТАНЦИИ;0300153811Л;;;;;;;;;;;;;
;;;ТРИАТЛОН - СРЕДНЯЯ ДИСТАНЦИЯ (ВЕЛОГОНКА 80-90 КМ);0300141811Л;;;;;;;;;;;;;
;;;ТРИАТЛОН - ДЛИННАЯ ДИСТАНЦИЯ (ВЕЛОГОНКА 100-200 КМ);0300051811Л;;;;;;;;;;;;;
;;;ТРИАТЛОН - ЭСТАФЕТА (2 М + 2 Ж);0300041611Я;;;;;;;;;;;;;
;;;ТРИАТЛОН - ЭСТАФЕТА (3 ЧЕЛ);0300031811Я;;;;;;;;;;;;;
;;;ТРИАТЛОН - СПРИНТ;0300021811Я;;;;;;;;;;;;;
;;;ТРИАТЛОН;0300011611Я;;;;;;;;;;;;;
;;;АКВАТЛОН;0300111811Я;;;;;;;;;;;;;
;;;ДУАТЛОН - ЭСТАФЕТА (3 ЧЕЛ);0300101811Я;;;;;;;;;;;;;
;;;ДУАТЛОН - КРОСС;0300131811Я;;;;;;;;;;;;;
;;;ДУАТЛОН - СПРИНТ;0300091811Я;;;;;;;;;;;;;
;;;ДУАТЛОН;0300081811Я;;;;;;;;;;;;;
;;;ТРИАТЛОН - ЗИМНИЙ - ЭСТАФЕТА (3 ЧЕЛ);0300073811Я;;;;;;;;;;;;;
;;;ТРИАТЛОН - ЗИМНИЙ;0300063811Я;;;;;;;;;;;;;
;;;ТРИАТЛОН - КРОСС;0300121811Я;;;;;;;;;;;;;
141;ВОДНОЛЫЖНЫЙ СПОРТ;0640001511Я;КАТЕР - ДОСКА ДЛИННАЯ;0640141811Я;;;;;;;;;;;;;
;;;КАТЕР - ДОСКА КОРОТКАЯ;0640131811Я;;;;;;;;;;;;;
;;;ПОДА - ВЕЙКБОРД - ЭЛЕКТРОТЯГА;0640121811М;;;;;;;;;;;;;
;;;ВЕЙКБОРД - ЭЛЕКТРОТЯГА;0640111811Я;;;;;;;;;;;;;
;;;ВЕЙКБОРД - КАТЕР;0640101811Я;;;;;;;;;;;;;
;;;БАССЕЙН - ФИГУРНОЕ КАТАНИЕ;0640091811Я;;;;;;;;;;;;;
;;;ЭЛЕКТРОТЯГА - ФИГУРНОЕ КАТАНИЕ;0640081811Я;;;;;;;;;;;;;
;;;ЭЛЕКТРОТЯГА - СЛАЛОМ;0640071811Я;;;;;;;;;;;;;
;;;ЭЛЕКТРОТЯГА - ПРЫЖКИ С ТРАМПЛИНА;0640061811Я;;;;;;;;;;;;;
;;;ЭЛЕКТРОТЯГА - МНОГОБОРЬЕ;0640051811Я;;;;;;;;;;;;;
;;;КАТЕР - ФИГУРНОЕ КАТАНИЕ;0640041811Я;;;;;;;;;;;;;
;;;КАТЕР - СЛАЛОМ;0640031811Я;;;;;;;;;;;;;
;;;КАТЕР - ПРЫЖКИ С ТРАМПЛИНА;0640021811Я;;;;;;;;;;;;;
;;;КАТЕР - МНОГОБОРЬЕ;0640011811Я;;;;;;;;;;;;;
142;СТРЕЛЬБА ИЗ ЛУКА;0220005611Я;КЛ - 12 М (30+30 ВЫСТРЕЛОВ);0220161811Н;;;;;;;;;;;;;
;;;КЛ - 18 М (30+30 ВЫСТРЕЛОВ) + ФИНАЛ;0220051811Я;;;;;;;;;;;;;
;;;КЛ - 50 М, 30 М (72 ВЫСТРЕЛОВ);0220401811Н;;;;;;;;;;;;;
;;;КЛ - 60 М (36+36 ВЫСТРЕЛОВ) + ФИНАЛ;0220131811Н;;;;;;;;;;;;;
;;;КЛ - 60 М, 50 М, 40 М, 30 М (144 ВЫСТРЕЛОВ) +60 М ФИНАЛ;0220121811Д;;;;;;;;;;;;;
;;;КЛ - 70 М (36+36 ВЫСТРЕЛОВ) + ФИНАЛ;0220061611Я;;;;;;;;;;;;;
;;;КЛ - 70 М (72 ВЫСТРЕЛОВ);0220381811Б;;;;;;;;;;;;;
;;;КЛ - 70 М, 60 М, 50 М, 30 М (144 ВЫСТРЕЛОВ) + 60 М ФИНАЛ;0220421811Ю;;;;;;;;;;;;;
;;;КЛ - 70 М, 60 М, 50 М, 30 М (144 ВЫСТРЕЛОВ) + 70 М ФИНАЛ;0220111811Б;;;;;;;;;;;;;
;;;КЛ - 90 М (72 ВЫСТРЕЛОВ);0220361811А;;;;;;;;;;;;;
;;;КЛ - 90 М, 70 М, 50 М, 30 М (144 ВЫСТРЕЛОВ) + 70 М ФИНАЛ;0220071811А;;;;;;;;;;;;;
;;;КЛ - КОМАНДНЫЕ СОРЕВНОВАНИЯ (КВАЛИФИКАЦИЯ + ФИНАЛ 60 М);0220011811Н;;;;;;;;;;;;;
;;;КЛ - КОМАНДНЫЕ СОРЕВНОВАНИЯ - СМЕШАННЫЕ (КВАЛИФИКАЦИЯ + ФИНАЛ 60 М);0220451811Н;;;;;;;;;;;;;
;;;КЛ - КОМАНДНЫЕ СОРЕВНОВАНИЯ (КВАЛИФИКАЦИЯ + ФИНАЛ 70 М);0220151611Я;;;;;;;;;;;;;
;;;КЛ - КОМАНДНЫЕ СОРЕВНОВАНИЯ - СМЕШАННЫЕ (КВАЛИФИКАЦИЯ + ФИНАЛ 70 М);0220441611Я;;;;;;;;;;;;;
;;;КЛ - КОМАНДНЫЕ СОРЕВНОВАНИЯ 18 М (КВАЛИЦИКАЦИЯ + ФИНАЛ);0220141811Я;;;;;;;;;;;;;
;;;БЛ - 12 М (30+30 ВЫСТРЕЛОВ);0220251811Н;;;;;;;;;;;;;
;;;БЛ - 18 М (30+30 ВЫСТРЕЛОВ) + ФИНАЛ;0220081811Я;;;;;;;;;;;;;
;;;БЛ - 50 М (36+36 ВЫСТРЕЛОВ) + ФИНАЛ;0220461811Я;;;;;;;;;;;;;
;;;БЛ - 50 М, 30 М (72 ВЫСТРЕЛОВ);0220411811Н;;;;;;;;;;;;;
;;;БЛ - 60 М (36+36 ВЫСТРЕЛОВ) + ФИНАЛ;0220201811Н;;;;;;;;;;;;;
;;;БЛ - 60 М, 50 М, 40 М, 30 М (144 ВЫСТРЕЛОВ) + 60 М ФИНАЛ;0220211811Д;;;;;;;;;;;;;
;;;БЛ - 70 М (36+36 ВЫСТРЕЛОВ) + ФИНАЛ;0220171811Я;;;;;;;;;;;;;
;;;БЛ - 70 М (72 ВЫСТРЕЛОВ);0220391811Б;;;;;;;;;;;;;
;;;БЛ - 70 М, 60 М, 50 М, 30 М (144 ВЫСТРЕЛОВ) + 60 М ФИНАЛ;0220431811Ю;;;;;;;;;;;;;
;;;БЛ - 70 М, 60 М, 50 М, 30 М (144 ВЫСТРЕЛОВ) + 70 М ФИНАЛ;0220191811Б;;;;;;;;;;;;;
;;;БЛ - 90 М (72 ВЫСТРЕЛОВ);0220371811А;;;;;;;;;;;;;
;;;БЛ - 90 М, 70 М, 50 М, 30 М (144 ВЫСТРЕЛОВ) + 70 М ФИНАЛ;0220181811А;;;;;;;;;;;;;
;;;БЛ - КОМАНДНЫЕ СОРЕВНОВАНИЯ (КВАЛИФИКАЦИЯ + ФИНАЛ 50 М);0220471811Я;;;;;;;;;;;;;
;;;БЛ - КОМАНДНЫЕ СОРЕВНОВАНИЯ (КВАЛИФИКАЦИЯ + ФИНАЛ 60 М);0220241811Н;;;;;;;;;;;;;
;;;КЛ - БЕСПРИЦЕЛЬНЫЙ - 18 М (30+30 ВЫСТРЕЛОВ) + ФИНАЛ;0220341811Л;;;;;;;;;;;;;
;;;БЛ - КОМАНДНЫЕ СОРЕВНОВАНИЯ (КВАЛИФИКАЦИЯ + ФИНАЛ 70 М);0220231811Я;;;;;;;;;;;;;
;;;БЛ - КОМАНДНЫЕ СОРЕВНОВАНИЯ 18 М (КВАЛИФИКАЦИЯ + ФИНАЛ);0220221811Я;;;;;;;;;;;;;
;;;БЛ - КОМАНДНЫЕ СОРЕВНОВАНИЯ - СМЕШАННЫЕ (КВАЛИФИКАЦИЯ + ФИНАЛ 50 М);0220481811Я;;;;;;;;;;;;;
;;;3Д - КЛ - 3-30 М (КВАЛИФИКАЦИЯ + ФИНАЛ);0220491811Л;;;;;;;;;;;;;
;;;3Д - БЛ - 5-45 М (КВАЛИФИКАЦИЯ + ФИНАЛ);0220521811Л;;;;;;;;;;;;;
;;;3Д - СОСТАВНОЙ ЛУК - 3-30 М (КВАЛИФИКАЦИЯ + ФИНАЛ);0220531811Л;;;;;;;;;;;;;
;;;3Д - ДЛИННЫЙ ЛУК - 3-30 М (КВАЛИФИКАЦИЯ + ФИНАЛ);0220541811Л;;;;;;;;;;;;;
;;;3Д - КОМАНДНЫЕ СОРЕВНОВАНИЯ (КВАЛИФИКАЦИЯ + ФИНАЛ);0220551811Л;;;;;;;;;;;;;
;;;АСИММЕТРИЧНЫЙ ЛУК - 28 М (КВАЛИФИКАЦИЯ + ФИНАЛ);0220501811Л;;;;;;;;;;;;;
;;;АСИММЕТРИЧНЫЙ ЛУК - 28 М (КВАЛИФИКАЦИЯ + ФИНАЛ) - КОМАНДНЫЕ СОРЕВНОВАНИЯ;0220511811Л;;;;;;;;;;;;;
;;;АЧЕРИ-ГОНКА 10 КМ;0220023811Э;;;;;;;;;;;;;
;;;АЧЕРИ-ГОНКА 12,5 КМ;0220033811М;;;;;;;;;;;;;
;;;АЧЕРИ-ГОНКА 8 КМ;0220043811Д;;;;;;;;;;;;;
;;;АЧЕРИ-КРОСС 2,5 - 7,5 КМ;0220091811Л;;;;;;;;;;;;;
;;;АЧЕРИ-МАССТАРТ 10 КМ;0220103811М;;;;;;;;;;;;;
;;;АЧЕРИ-МАССТАРТ 6 КМ;0220263811Д;;;;;;;;;;;;;
;;;АЧЕРИ-МАССТАРТ 7,5 КМ;0220273811Э;;;;;;;;;;;;;
;;;АЧЕРИ-ПЕРСЬЮТ 10 КМ;0220283811М;;;;;;;;;;;;;
;;;АЧЕРИ-ПЕРСЬЮТ 6 КМ;0220293811Д;;;;;;;;;;;;;
;;;АЧЕРИ-ПЕРСЬЮТ 8 КМ;0220303811Э;;;;;;;;;;;;;
;;;АЧЕРИ-СПРИНТ 4 КМ;0220313811Д;;;;;;;;;;;;;
;;;АЧЕРИ-СПРИНТ 6 КМ;0220323811Э;;;;;;;;;;;;;
;;;АЧЕРИ-СПРИНТ 7,5 КМ;0220353811М;;;;;;;;;;;;;
;;;АЧЕРИ-ЭСТАФЕТА (3ЧЕЛ. Х 6 КМ);0220333811Я;;;;;;;;;;;;;
